rank,ticker,name,market_cap_억
428,051980,중앙첨단소재,2561
429,353810,이지바이오,2554
430,457550,우진엔텍,2553
431,036800,나이스정보통신,2545
432,241770,메카로,2538
433,377460,위니아에이드,2532
434,289930,웨이비스,2504
435,950140,잉글우드랩,2503
436,299030,하나기술,2502
437,118990,모트렉스,2486
438,475230,엔알비,2486
439,100120,뷰웍스,2480
440,036030,케이티알파,2475
441,126600,BGF에코머티리얼즈,2464
442,115450,HLB테라퓨틱스,2447
443,237880,클리오,2447
444,051360,토비스,2427
445,083930,아바코,2425
446,179290,엠아이텍,2411
447,112290,와이씨켐,2406
448,322310,오로스테크놀로지,2388
449,217270,넵튠,2388
450,439090,마녀공장,2386
451,452450,피아이이,2386
452,300080,플리토,2375
453,068930,디지털대성,2369
454,243840,신흥에스이씨,2360
455,199820,제일일렉트릭,2353
456,251370,와이엠티,2346
457,092070,디엔에프,2343
458,054450,텔레칩스,2325
459,456010,아이씨티케이,2320
460,232680,라온로보틱스,2319
461,160980,싸이맥스,2316
462,008830,대동기어,2310
463,264850,이랜시스,2308
464,083310,엘오티베큠,2306
465,019010,베뉴지,2299
466,290550,디케이티,2296
467,032940,원익,2292
468,323990,박셀바이오,2289
469,334970,프레스티지바이오로직스,2286
470,084850,아이티엠반도체,2280
471,0015S0,페스카로,2271
472,488280,에스투더블유,2270
473,041020,폴라리스오피스,2263
474,033160,엠케이전자,2253
475,086890,이수앱지스,2248
476,234030,싸이닉솔루션,2247
477,469610,이노테크,2237
478,042420,네오위즈홀딩스,2234
479,047310,파워로직스,2233
480,226590,엠디바이스,2232
481,293780,압타바이오,2228
482,091580,상신이디피,2226
483,064290,인텍플러스,2218
484,230240,에치에프알,2217
485,123410,코리아에프티,2211
486,340450,지씨지놈,2202
487,121440,골프존홀딩스,2202
488,219130,타이거일렉,2201
489,102120,어보브반도체,2196
490,036560,KZ정밀,2196
491,101170,우림피티에스,2191
492,405100,큐알티,2190
493,088800,에이스테크,2178
494,048870,시너지이노베이션,2167
495,464490,쿼드메디슨,2166
496,060150,인선이엔티,2151
497,032620,유비케어,2148
498,002230,피에스텍,2139
499,024060,흥구석유,2139
500,356680,엑스게이트,2132
