rank,ticker,name,market_cap_억
445,011690,와이투솔루션,3213
446,009680,모토닉,3212
447,004360,세방,3190
448,244920,에이플러스에셋,3179
449,092790,넥스틸,3138
450,136490,선진,3120
451,001340,PKC,3090
452,02826K,삼성물산우B,3089
453,432320,KB스타리츠,3083
454,078520,에이블씨엔씨,3080
455,003920,남양유업,3078
456,088260,이리츠코크렙,3059
457,001230,동국홀딩스,3046
458,334890,이지스밸류플러스리츠,2965
459,033920,무학,2964
460,000050,경방,2964
461,035150,백산,2931
462,900140,엘브이엠씨홀딩스,2924
463,058430,포스코스틸리온,2907
464,013890,지누스,2906
465,033530,SJG세종,2874
466,000680,LS네트웍스,2872
467,377190,디앤디플랫폼리츠,2869
468,030210,다올투자증권,2857
469,108670,LX하우시스,2838
470,003720,삼영,2785
471,003547,대신증권2우B,2750
472,122900,아이마켓코리아,2724
473,001130,대한제분,2714
474,0030R0,대신밸류리츠,2711
475,003220,대원제약,2678
476,001630,종근당홀딩스,2670
477,005500,삼진제약,2657
478,003070,코오롱글로벌,2657
479,008490,서흥,2655
480,000390,삼화페인트,2655
481,001790,대한제당,2646
482,226320,잇츠한불,2625
483,013580,계룡건설,2621
484,000430,대원강업,2616
485,035510,신세계 I&C,2600
486,007860,서연,2599
487,004980,성신양회,2572
488,005680,삼영전자,2556
489,044450,KSS해운,2542
490,051905,LG생활건강우,2522
491,210980,SK디앤디,2521
492,005010,휴스틸,2520
493,404990,신한서부티엔디리츠,2506
494,487570,HS효성,2504
495,000520,삼일제약,2495
496,007570,일양약품,2491
497,053210,스카이라이프,2490
498,134380,미원화학,2472
499,339770,교촌에프앤비,2456
500,003350,한국화장품제조,2452
